,City,Population (2020),Province,Region,Legal Class,Charter,Area_km2,Area_mi2,Density_km2,Density_mi2,Chater,Approval_date,Approval_a,Approval_b,Approval_c,Ratification_date,Ratification_a,Ratification_b,Ratification_c,Article Link
74,Mabalacat,293244,Pampanga,III,CC,RA 10164 [106],83.18,32.12,3525.0,9131.0,RA 10164 ,"('May', '15', '2012')",May,15,2012,"('July', '21', '2012')",July,21,2012,/wiki/Mabalacat
75,Makati,629616,none ,NCR,HUC,RA 07854 [107],21.57,8.33,29189.0,75600.0,RA 07854 ,"('January', '2', '1995')",January,2,1995,"('February', '4', '1995')",February,4,1995,/wiki/Makati
76,Malabon,380522,none ,NCR,HUC,RA 09019 [108],15.71,6.07,24222.0,62734.0,RA 09019 ,"('March', '5', '2001')",March,5,2001,"('April', '21', '2001')",April,21,2001,/wiki/Malabon
77,Malaybalay,190712,Bukidnon,X,CC,RA 08490 [109],969.19,374.21,197.0,510.0,RA 08490 ,"('February', '11', '1998')",February,11,1998,"('March', '22', '1998')",March,22,1998,/wiki/Malaybalay
78,Malolos,261189,Bulacan,III,CC,RA 08754 [110],67.25,25.97,3884.0,10059.0,RA 08754 ,"('November', '4', '1999')",November,4,1999,"('December', '18', '1999')",December,18,1999,/wiki/Malolos
79,Mandaluyong,425758,none ,NCR,HUC,RA 07675 [112],11.26,4.35,37812.0,97931.0,RA 07675 ,"('February', '9', '1994')",February,9,1994,"('April', '10', '1994')",April,10,1994,/wiki/Mandaluyong
80,Mandaue,364116,Cebu,VII,HUC,RA 05519 [113],25.18,9.72,10442.0,27045.0,RA 05519 ,"('June', '21', '1969')",June,21,1969,"('August', '30', '1969')",August,30,1969,/wiki/Mandaue
81,Manila,1846513,none,NCR,HUC,Act 0183 [115],38.55,14.88,47899.0,124058.0,Act 0183 ,"('July', '31', '1901')",July,31,1901,"('July', '31', '1901')",July,31,1901,/wiki/Manila
82,Marawi,207010,Lanao del Sur,BARMM,CC,CA 592 [116],87.55,33.8,2364.0,6124.0,CA 592 ,"('August', '19', '1940')",August,19,1940,"('September', '30', '1950')",September,30,1950,/wiki/Marawi
83,Marikina,456159,none ,NCR,HUC,RA 08223 [118],21.52,8.31,21197.0,54900.0,RA 08223 ,"('November', '6', '1996')",November,6,1996,"('December', '7', '1996')",December,7,1996,/wiki/Marikina
84,Masbate City,104522,Masbate,V,CC,RA 08807 [119],188.0,72.59,556.0,1440.0,RA 08807 ,"('August', '16', '2000')",August,16,2000,"('September', '30', '2000')",September,30,2000,/wiki/Masbate_City
85,Mati,147547,Davao Oriental,XI,CC,RA 09408 [120],588.63,227.27,251.0,649.0,RA 09408 ,"('March', '24', '2007')",March,24,2007,"('June', '18', '2007')",June,18,2007,"/wiki/Mati,_Davao_Oriental"
86,Meycauayan,225673,Bulacan,III,CC,RA 09356 [121],32.1,12.39,7030.0,18208.0,RA 09356 ,"('October', '2', '2006')",October,2,2006,"('December', '10', '2006')",December,10,2006,/wiki/Meycauayan
87,Muñoz,84308,Nueva Ecija,III,CC,RA 08977 [123],163.05,62.95,162.0,420.0,RA 08977 ,"('November', '7', '2000')",November,7,2000,"('December', '9', '2000')",December,9,2000,"/wiki/Mu%C3%B1oz,_Nueva_Ecija"
88,Muntinlupa,543445,none ,NCR,HUC,RA 07926 [124],39.75,15.35,13672.0,35409.0,RA 07926 ,"('March', '1', '1995')",March,1,1995,"('May', '8', '1995')",May,8,1995,/wiki/Muntinlupa
89,Naga,209170,Camarines Sur,V,ICC,RA 00305 [125],84.48,32.62,2476.0,6413.0,RA 00305 ,"('June', '18', '1948')",June,18,1948,"('June', '18', '1948')",June,18,1948,"/wiki/Naga,_Camarines_Sur"
90,Naga,133184,Cebu,VII,CC,RA 09491 [126],101.97,39.37,1306.0,3383.0,RA 09491 ,"('July', '15', '2007')",July,15,2007,"('September', '2', '2007')",September,2,2007,"/wiki/Naga,_Cebu"
91,Navotas,247543,none ,NCR,HUC,RA 09387 [127],8.94,3.45,27689.0,71715.0,RA 09387 ,"('March', '10', '2007')",March,10,2007,"('June', '24', '2007')",June,24,2007,/wiki/Navotas
92,Olongapo,260317,Zambales,III,HUC,RA 04645 [128],103.3,39.9,1407.0,3644.0,RA 04645 ,"('June', '1', '1966')",June,1,1966,"('June', '1', '1966')",June,1,1966,/wiki/Olongapo
93,Ormoc,230998,Leyte,VIII,ICC,RA 00179 [129],613.6,236.91,376.0,975.0,RA 00179 ,"('June', '21', '1947')",June,21,1947,"('October', '20', '1947')",October,20,1947,/wiki/Ormoc
94,Oroquieta,72301,Misamis Occidental,X,CC,RA 05518 [131],237.88,91.85,304.0,787.0,RA 05518 ,"('June', '21', '1969')",June,21,1969,"('January', '1', '1970')",January,1,1970,/wiki/Oroquieta
95,Ozamiz,140334,Misamis Occidental,X,CC,RA 00321 [132],169.95,65.62,826.0,2139.0,RA 00321 ,"('June', '19', '1948')",June,19,1948,"('June', '19', '1948')",June,19,1948,/wiki/Ozamiz
96,Pagadian,210452,Zamboanga del Sur,IX,CC,RA 05478 [134],378.8,146.26,556.0,1439.0,RA 05478 ,"('June', '21', '1969')",June,21,1969,"('June', '21', '1969')",June,21,1969,/wiki/Pagadian
97,Palayan,45383,Nueva Ecija,III,CC,RA 04475 [135],101.4,39.15,448.0,1159.0,RA 04475 ,"('June', '19', '1965')",June,19,1965,"('June', '19', '1965')",June,19,1965,/wiki/Palayan
98,Panabo,209230,Davao del Norte,XI,CC,RA 09015 [136],251.23,97.0,231.0,597.0,RA 09015 ,"('February', '28', '2001')",February,28,2001,"('March', '31', '2001')",March,31,2001,/wiki/Panabo
99,Parañaque,689992,none ,NCR,HUC,RA 08507 [137],46.57,17.98,14816.0,38374.0,RA 08507 ,"('February', '13', '1998')",February,13,1998,"('March', '22', '1998')",March,22,1998,/wiki/Para%C3%B1aque
100,Pasay,440656,none ,NCR,HUC,RA 00183 [138],13.97,5.39,31543.0,81696.0,RA 00183 ,"('June', '21', '1947')",June,21,1947,"('August', '16', '1947')",August,16,1947,/wiki/Pasay
101,Pasig,803159,none ,NCR,HUC,RA 07829 [140],48.46,18.71,16574.0,42926.0,RA 07829 ,"('December', '8', '1994')",December,8,1994,"('January', '21', '1995')",January,21,1995,/wiki/Pasig
102,Passi,88873,Iloilo,VI,CC,RA 08469 [141],251.39,97.06,354.0,916.0,RA 08469 ,"('January', '30', '1998')",January,30,1998,"('March', '14', '1998')",March,14,1998,"/wiki/Passi,_Iloilo"
103,Puerto Princesa,307079,Palawan,Mimaropa,HUC,RA 05906 [142],2381.02,919.32,129.0,334.0,RA 05906 ,"('June', '21', '1969')",June,21,1969,"('January', '1', '1970')",January,1,1970,/wiki/Puerto_Princesa
104,Quezon City,2960048,none ,NCR,HUC,CA 502 [143],171.71,66.3,17239.0,44648.0,CA 502 ,"('October', '12', '1939')",October,12,1939,"('October', '12', '1939')",October,12,1939,/wiki/Quezon_City
105,Roxas,179292,Capiz,VI,CC,RA 00603 [144],95.07,36.71,1886.0,4884.0,RA 00603 ,"('April', '11', '1951')",April,11,1951,"('May', '12', '1951')",May,12,1951,"/wiki/Roxas,_Capiz"
106,Sagay,148894,Negros Occidental,VI,CC,RA 08192 [146],330.34,127.54,451.0,1167.0,RA 08192 ,"('June', '11', '1996')",June,11,1996,"('August', '10', '1996')",August,10,1996,"/wiki/Sagay,_Negros_Occidental"
107,Samal,209230,Davao del Norte,XI,CC,RA 08471 [147],301.3,116.33,694.0,1799.0,RA 08471 ,"('January', '30', '1998')",January,30,1998,"('March', '7', '1998')",March,7,1998,"/wiki/Samal,_Davao_del_Norte"
108,San Carlos,132650,Negros Occidental,VI,CC,RA 02643 [148],451.5,174.33,294.0,761.0,RA 02643 ,"('June', '18', '1960')",June,18,1960,"('June', '18', '1960')",June,18,1960,"/wiki/San_Carlos,_Negros_Occidental"
109,San Carlos,205424,Pangasinan,I,CC,RA 04487 [149],169.03,65.26,1215.0,3148.0,RA 04487 ,"('June', '19', '1965')",June,19,1965,"('January', '1', '1966')",January,1,1966,"/wiki/San_Carlos,_Pangasinan"
110,San Fernando,125640,La Union,I,CC,RA 08509 [150],102.72,39.66,1223.0,3168.0,RA 08509 ,"('February', '13', '1998')",February,13,1998,"('March', '20', '1998')",March,20,1998,"/wiki/San_Fernando,_La_Union"
111,San Fernando,354666,Pampanga,III,CC,RA 08990 [151],67.74,26.15,5236.0,13560.0,RA 08990 ,"('January', '26', '2001')",January,26,2001,"('February', '3', '2001')",February,3,2001,"/wiki/San_Fernando,_Pampanga"
112,San Jose,150917,Nueva Ecija,III,CC,RA 06051 [152],185.99,71.81,811.0,2102.0,RA 06051 ,"('August', '4', '1969')",August,4,1969,"('August', '4', '1969')",August,4,1969,"/wiki/San_Jose,_Nueva_Ecija"
113,San Jose del Monte,651813,Bulacan,III,CC,RA 08797 [153],105.53,40.75,6177.0,15997.0,RA 08797 ,"('July', '15', '2000')",July,15,2000,"('September', '10', '2000')",September,10,2000,/wiki/San_Jose_del_Monte
114,San Juan,126347,none ,NCR,HUC,RA 09388 [154],5.95,2.3,21235.0,54998.0,RA 09388 ,"('March', '11', '2007')",March,11,2007,"('June', '16', '2007')",June,16,2007,"/wiki/San_Juan,_Metro_Manila"
115,San Pablo,285348,Laguna,IV-A,CC,CA 520 [155],197.56,76.28,1444.0,3741.0,CA 520 ,"('May', '7', '1940')",May,7,1940,"('March', '30', '1941')",March,30,1941,"/wiki/San_Pablo,_Laguna"
116,San Pedro,326001,Laguna,IV-A,CC,RA 10420 [157],24.05,9.29,13555.0,35108.0,RA 10420 ,"('March', '27', '2013')",March,27,2013,"('December', '28', '2013')",December,28,2013,"/wiki/San_Pedro,_Laguna"
117,Santa Rosa,414812,Laguna,IV-A,CC,RA 09264 [159],54.84,21.17,7564.0,19591.0,RA 09264 ,"('March', '10', '2004')",March,10,2004,"('July', '10', '2004')",July,10,2004,"/wiki/Santa_Rosa,_Laguna"
118,Santo Tomas,218500,Batangas,IV-A,CC,RA 11086 [161],95.41,36.84,2290.0,5931.0,RA 11086 ,"('October', '5', '2018')",October,5,2018,"('September', '7', '2019')",September,7,2019,"/wiki/Santo_Tomas,_Batangas"
119,Santiago,148580,Isabela,II,ICC,RA 07720 [162],255.5,98.65,582.0,1506.0,RA 07720 ,"('May', '5', '1994')",May,5,1994,"('July', '3', '1994')",July,3,1994,"/wiki/Santiago,_Isabela"
120,Silay,130478,Negros Occidental,VI,CC,RA 01621 [163],214.8,82.93,607.0,1573.0,RA 01621 ,"('June', '12', '1957')",June,12,1957,"('June', '12', '1957')",June,12,1957,/wiki/Silay
121,Sipalay,72448,Negros Occidental,VI,CC,RA 09027 [164],379.78,146.63,191.0,494.0,RA 09027 ,"('March', '5', '2001')",March,5,2001,"('March', '31', '2001')",March,31,2001,/wiki/Sipalay
122,Sorsogon City,182237,Sorsogon,V,CC,RA 08806 [165],276.11,106.61,660.0,1709.0,RA 08806 ,"('August', '16', '2000')",August,16,2000,"('December', '16', '2000')",December,16,2000,/wiki/Sorsogon_City
123,Surigao City,171107,Surigao del Norte,XIII,CC,RA 06134 [166],245.3,94.71,698.0,1807.0,RA 06134 ,"('August', '31', '1970')",August,31,1970,"('August', '31', '1970')",August,31,1970,/wiki/Surigao_City
124,Tabaco,140961,Albay,V,CC,RA 09020 [167],117.14,45.23,1203.0,3117.0,RA 09020 ,"('March', '5', '2001')",March,5,2001,"('March', '24', '2001')",March,24,2001,/wiki/Tabaco
125,Tabuk,121033,Kalinga,CAR,CC,RA 09404 [168],700.25,270.37,173.0,448.0,RA 09404 ,"('March', '23', '2007')",March,23,2007,"('June', '23', '2007')",June,23,2007,"/wiki/Tabuk,_Kalinga"
126,Tacloban,251881,Leyte,VIII,HUC,RA 00760 [169],201.72,77.88,1249.0,3234.0,RA 00760 ,"('June', '20', '1952')",June,20,1952,"('June', '12', '1953')",June,12,1953,/wiki/Tacloban
127,Tacurong,109319,Sultan Kudarat,XII,CC,RA 08805 [171],153.4,59.23,713.0,1846.0,RA 08805 ,"('August', '16', '2000')",August,16,2000,"('September', '18', '2000')",September,18,2000,/wiki/Tacurong
128,Tagaytay,85330,Cavite,IV-A,CC,CA 338 [172],65.0,25.1,1313.0,3400.0,CA 338 ,"('June', '21', '1938')",June,21,1938,"('June', '21', '1938')",June,21,1938,/wiki/Tagaytay
129,Tagbilaran,104976,Bohol,VII,CC,RA 04660 [173],36.5,14.09,2876.0,7449.0,RA 04660 ,"('June', '18', '1966')",June,18,1966,"('July', '1', '1966')",July,1,1966,/wiki/Tagbilaran
130,Taguig,886722,none ,NCR,HUC,RA 08487 [174],45.21,17.46,19613.0,50798.0,RA 08487 ,"('February', '11', '1998')",February,11,1998,"('December', '8', '2004')",December,8,2004,/wiki/Taguig
131,Tagum,296202,Davao del Norte,XI,CC,RA 08472 [176],195.8,75.6,1513.0,3918.0,RA 08472 ,"('January', '30', '1998')",January,30,1998,"('March', '7', '1998')",March,7,1998,/wiki/Tagum
132,Talisay,263048,Cebu,VII,CC,RA 08979 [177],39.87,15.39,6598.0,17088.0,RA 08979 ,"('November', '22', '2000')",November,22,2000,"('December', '30', '2000')",December,30,2000,"/wiki/Talisay,_Cebu"
133,Talisay,108909,Negros Occidental,VI,CC,RA 08489 [178],201.18,77.68,541.0,1402.0,RA 08489 ,"('February', '11', '1998')",February,11,1998,"('February', '11', '1998')",February,11,1998,"/wiki/Talisay,_Negros_Occidental"
134,Tanauan,193936,Batangas,IV-A,CC,RA 09005 [179],107.16,41.37,1810.0,4687.0,RA 09005 ,"('February', '2', '2001')",February,2,2001,"('March', '10', '2001')",March,10,2001,"/wiki/Tanauan,_Batangas"
135,Tandag,62669,Surigao del Sur,XIII,CC,RA 09392 [180],291.73,112.64,215.0,556.0,RA 09392 ,"('March', '15', '2007')",March,15,2007,"('June', '23', '2007')",June,23,2007,/wiki/Tandag
136,Tangub,68389,Misamis Occidental,X,CC,RA 05131 [181],162.78,62.85,420.0,1088.0,RA 05131 ,"('June', '17', '1967')",June,17,1967,"('February', '28', '1968')",February,28,1968,/wiki/Tangub
137,Tanjay,82642,Negros Oriental,VII,CC,RA 09026 [183],267.05,103.11,309.0,802.0,RA 09026 ,"('March', '5', '2001')",March,5,2001,"('March', '31', '2001')",March,31,2001,/wiki/Tanjay
138,Tarlac City,385398,Tarlac,III,CC,RA 08593 [184],274.66,106.05,1403.0,3634.0,RA 08593 ,"('March', '12', '1998')",March,12,1998,"('April', '19', '1998')",April,19,1998,/wiki/Tarlac_City
139,Tayabas,112658,Quezon,IV-A,CC,RA 09398 [185],230.95,89.17,488.0,1263.0,RA 09398 ,"('March', '18', '2007')",March,18,2007,"('July', '14', '2007')",July,14,2007,/wiki/Tayabas
140,Toledo,207314,Cebu,VII,CC,RA 02688 [186],216.28,83.51,959.0,2483.0,RA 02688 ,"('June', '18', '1960')",June,18,1960,"('June', '18', '1960')",June,18,1960,"/wiki/Toledo,_Cebu"
141,Trece Martires,210503,Cavite,IV-A,CC,RA 00981 [187],39.1,15.1,5384.0,13944.0,RA 00981 ,"('May', '24', '1954')",May,24,1954,"('January', '1', '1956')",January,1,1956,/wiki/Trece_Martires
142,Tuguegarao,166334,Cagayan,II,CC,RA 08755 [188],144.8,55.91,1149.0,2975.0,RA 08755 ,"('November', '4', '1999')",November,4,1999,"('December', '18', '1999')",December,18,1999,/wiki/Tuguegarao
143,Urdaneta,144577,Pangasinan,I,CC,RA 08480 [189],100.26,38.71,1442.0,3735.0,RA 08480 ,"('February', '10', '1998')",February,10,1998,"('March', '21', '1998')",March,21,1998,"/wiki/Urdaneta,_Pangasinan"
144,Valencia,216546,Bukidnon,X,CC,RA 08985 [190],587.29,226.75,369.0,955.0,RA 08985 ,"('December', '5', '2000')",December,5,2000,"('December', '30', '2000')",December,30,2000,"/wiki/Valencia,_Bukidnon"
145,Valenzuela,714978,none ,NCR,HUC,RA 08526 [191],47.02,18.15,15206.0,39383.0,RA 08526 ,"('February', '14', '1998')",February,14,1998,"('December', '30', '1998')",December,30,1998,"/wiki/Valenzuela,_Metro_Manila"
146,Victorias,90101,Negros Occidental,VI,CC,RA 08488 [192],133.92,51.71,673.0,1743.0,RA 08488 ,"('February', '11', '1998')",February,11,1998,"('March', '21', '1998')",March,21,1998,/wiki/Victorias
147,Vigan,53935,Ilocos Sur,I,CC,RA 08988 [193],25.12,9.7,2147.0,5561.0,RA 08988 ,"('December', '27', '2000')",December,27,2000,"('January', '22', '2001')",January,22,2001,/wiki/Vigan
148,Zamboanga City,977234,Zamboanga del Sur,IX,HUC,CA 039 [196],1453.27,561.11,659.0,1706.0,CA 039 ,"('October', '12', '1936')",October,12,1936,"('February', '26', '1937')",February,26,1937,/wiki/Zamboanga_City
